last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,b_total_bases,r_total_stolen_base,r_run,woba,
Sosa, Edmundo,624641,2021,25,288,326,78,60,8,4,6,63,17,19.3,5.2,.271,.389,.344,.732,27,121,112,4,39,.322,
Heredia, Guillermo,628338,2021,30,305,347,67,36,26,0,5,81,32,23.3,9.2,.220,.354,.311,.665,26,145,108,0,46,.292,
Hernandez, Yadiel,628450,2021,34,264,289,72,54,8,1,9,59,22,20.4,7.6,.273,.413,.329,.742,32,128,109,3,33,.320,
Ibanez, Andy,628451,2021,28,253,272,70,46,15,2,7,35,15,12.9,5.5,.277,.435,.320,.755,25,86,110,0,31,.325,
Cronenworth, Jake,630105,2021,27,567,643,151,90,33,7,21,90,55,14.0,8.6,.266,.460,.336,.796,71,249,261,4,94,.341,
Meadows, Austin,640457,2021,26,518,591,121,62,29,3,27,122,59,20.6,10.0,.234,.458,.315,.772,106,225,237,5,79,.327,
Anderson, Tim,641313,2021,28,527,551,163,115,29,2,17,119,22,21.6,4.0,.309,.469,.338,.806,61,166,247,18,94,.345,
Bauers, Jake,641343,2021,26,282,315,59,48,7,0,4,78,30,24.8,9.5,.209,.277,.289,.565,19,141,78,6,27,.257,
Bellinger, Cody,641355,2021,26,315,350,52,31,9,2,10,94,31,26.9,8.9,.165,.302,.240,.542,36,173,95,3,39,.237,
Calhoun, Willie,641432,2021,27,260,284,65,46,10,3,6,34,21,12.0,7.4,.250,.381,.310,.691,25,96,99,0,26,.301,
Crawford, J.P.,641487,2021,26,619,687,169,123,37,0,9,114,58,16.6,8.4,.273,.376,.338,.714,54,200,233,3,89,.314,
Dozier, Hunter,641531,2021,30,487,543,105,56,27,6,16,154,43,28.4,7.9,.216,.394,.285,.680,54,229,192,5,55,.293,
Fraley, Jake,641584,2021,26,214,265,45,29,7,0,9,71,46,26.8,17.4,.210,.369,.351,.720,36,85,79,10,27,.322,
Hampson, Garrett,641658,2021,27,453,494,106,68,21,6,11,118,33,23.9,6.7,.234,.380,.287,.667,33,169,172,17,69,.288,
Heim, Jonah,641680,2021,26,265,285,52,29,13,0,10,58,15,20.4,5.3,.196,.358,.239,.597,32,96,95,3,22,.256,
Mancini III, Trey,641820,2021,29,556,616,142,87,33,1,21,143,51,23.2,8.3,.255,.432,.326,.758,71,226,240,0,77,.326,
McKinney, Billy,641856,2021,27,265,300,51,28,11,3,9,79,32,26.3,10.7,.192,.358,.280,.638,27,131,95,2,32,.277,
McMahon, Ryan,641857,2021,27,528,596,134,78,32,1,23,147,59,24.7,9.9,.254,.449,.331,.779,86,243,237,6,80,.334,
O'Neill, Tyler,641933,2021,26,482,537,138,76,26,2,34,168,38,31.3,7.1,.286,.560,.352,.912,80,216,270,15,89,.384,
Smith, Dominic,642086,2021,26,446,493,109,78,20,0,11,112,32,22.7,6.5,.244,.363,.304,.667,58,232,162,2,43,.291,
Tellez, Rowdy,642133,2021,26,297,325,72,45,14,2,11,65,23,20.0,7.1,.242,.414,.305,.719,36,141,123,0,34,.306,
Valaika, Pat,642162,2021,29,259,281,52,39,8,0,5,76,16,27.0,5.7,.201,.290,.249,.539,25,103,75,1,17,.238,
VanMeter, Josh,642165,2021,26,274,310,58,33,17,2,6,83,33,26.8,10.6,.212,.354,.297,.651,36,106,97,3,26,.287,
Mejia, Francisco,642336,2021,26,250,277,65,41,15,3,6,49,17,17.7,6.1,.260,.416,.321,.737,35,80,104,0,31,.320,
Rosario, Amed,642708,2021,26,550,588,155,113,25,6,11,120,31,20.4,5.3,.282,.409,.321,.731,57,210,225,13,77,.315,
Adames, Willy,642715,2021,26,497,555,130,72,32,1,25,156,57,28.1,10.3,.262,.481,.337,.818,73,201,239,5,77,.349,
Gutierrez, Kelvin,642721,2021,27,272,295,63,49,8,3,3,76,19,25.8,6.4,.232,.316,.292,.608,20,107,86,0,23,.270,
Alcantara, Sergio,642727,2021,25,220,255,45,31,6,3,5,74,30,29.0,11.8,.205,.327,.302,.629,17,95,72,3,30,.279,
Benintendi, Andrew,643217,2021,27,493,538,136,90,27,2,17,97,36,18.0,6.7,.276,.442,.323,.766,73,187,218,8,63,.328,
Cooper, Garrett,643265,2021,31,215,250,61,41,10,1,9,68,30,27.2,12.0,.284,.465,.380,.845,33,82,100,1,30,.367,
Kemp, Tony,643393,2021,30,330,397,92,65,16,3,8,51,52,12.8,13.1,.279,.418,.378,.796,37,125,138,8,54,.351,
Kiner-Falefa, Isiah,643396,2021,26,635,677,172,136,25,3,8,90,28,13.3,4.1,.271,.357,.312,.669,53,188,227,20,74,.293,
McNeil, Jeff,643446,2021,29,386,426,97,70,19,1,7,58,29,13.6,6.8,.251,.360,.319,.679,35,186,139,3,48,.301,
Schwindel, Frank,643524,2021,29,242,259,79,44,20,1,14,41,16,15.8,6.2,.326,.591,.371,.962,43,87,143,2,44,.403,
Chang, Yu,644374,2021,26,237,251,54,28,14,3,9,69,11,27.5,4.4,.228,.426,.267,.693,39,91,101,1,32,.294,
Albies, Ozzie,645277,2021,24,629,686,163,86,40,7,30,128,47,18.7,6.9,.259,.488,.310,.799,106,233,307,20,103,.336,
Robles, Victor,645302,2021,24,315,369,64,40,21,1,2,85,33,23.0,8.9,.203,.295,.306,.601,19,137,93,8,37,.275,
Devers, Rafael,646240,2021,25,591,664,165,89,37,1,38,143,62,21.5,9.3,.279,.538,.352,.890,113,284,318,5,101,.373,
Naylor, Josh,647304,2021,24,233,250,59,39,13,0,7,45,14,18.0,5.6,.253,.399,.300,.699,21,93,93,1,28,.302,
Toro, Abraham,647351,2021,25,335,375,80,57,12,0,11,54,31,14.4,8.3,.239,.373,.315,.688,46,144,125,6,45,.303,
Diaz, Aledmys,649557,2021,31,294,319,76,49,19,0,8,62,16,19.4,5.0,.259,.405,.317,.721,45,129,119,0,28,.311,
Urias, Luis,649966,2021,24,490,570,122,73,25,1,23,116,63,20.4,11.1,.249,.445,.342,.787,75,180,218,5,77,.340,
Arraez, Luis,650333,2021,24,428,479,126,101,17,6,2,48,43,10.0,9.0,.294,.376,.357,.733,42,138,161,2,58,.321,
Torres, Gleyber,650402,2021,25,459,516,119,88,22,0,9,104,50,20.2,9.7,.259,.366,.329,.695,51,190,168,14,50,.307,
Castro, Willi,650489,2021,24,413,450,91,61,15,6,9,109,23,24.2,5.1,.220,.351,.271,.622,38,188,145,9,56,.271,
Diaz, Yandy,650490,2021,30,465,541,119,85,20,1,13,85,69,15.7,12.8,.256,.387,.353,.740,64,189,180,1,62,.325,
Bradley, Bobby,656252,2021,25,245,279,51,25,10,0,16,99,25,35.5,9.0,.208,.445,.294,.739,41,94,109,0,36,.314,
Chapman, Matt,656305,2021,28,529,622,111,66,15,3,27,202,80,32.5,12.9,.210,.403,.314,.716,72,227,213,3,75,.311,
Diaz, Isan,656371,2021,25,238,278,46,33,9,0,4,73,34,26.3,12.2,.193,.282,.291,.573,17,110,67,1,25,.252,
Hoskins, Rhys,656555,2021,28,389,443,96,40,29,0,27,108,47,24.4,10.6,.247,.530,.334,.864,71,195,206,3,64,.364,
Mullins II, Cedric,656775,2021,27,602,675,175,103,37,5,30,125,59,18.5,8.7,.291,.518,.359,.877,59,188,312,30,91,.372,
O'Hearn, Ryan,656811,2021,28,236,254,53,38,5,1,9,71,13,28.0,5.1,.225,.369,.268,.636,29,117,87,0,23,.274,
Schwarber, Kyle,656941,2021,28,399,471,106,55,19,0,32,127,64,27.0,13.6,.266,.554,.374,.928,71,163,221,1,76,.392,
Smith, Pavin,656976,2021,25,498,545,133,91,27,4,11,106,42,19.4,7.7,.267,.404,.328,.732,49,182,201,1,68,.318,
Thomas, Lane,657041,2021,26,226,264,53,29,15,2,7,63,37,23.9,14.0,.235,.412,.341,.752,28,91,93,7,35,.328,
Verdugo, Alex,657077,2021,25,544,604,157,110,32,2,13,96,51,15.9,8.4,.289,.426,.351,.777,63,212,232,6,88,.334,
DeJong, Paul,657557,2021,28,356,402,70,40,10,1,19,103,35,25.6,8.7,.197,.390,.284,.674,45,149,139,4,44,.293,
Laureano, Ramon,657656,2021,27,341,378,84,47,21,2,14,98,27,25.9,7.1,.246,.443,.317,.760,39,147,151,12,43,.327,
Fuentes, Joshua,658069,2021,28,271,284,61,42,11,1,7,65,12,22.9,4.2,.225,.351,.257,.608,33,131,95,0,30,.261,
Moncada, Yoan,660162,2021,26,520,616,137,89,33,1,14,157,84,25.5,13.6,.263,.412,.375,.787,61,229,214,3,74,.347,
Ohtani, Shohei,660271,2021,27,537,639,138,58,26,8,46,189,96,29.6,15.0,.257,.592,.372,.965,100,187,318,26,103,.393,
Tsutsugo, Yoshi,660294,2021,30,230,262,50,29,12,1,8,72,29,27.5,11.1,.217,.383,.305,.688,32,88,88,0,27,.302,
Acuna Jr., Ronald,660670,2021,24,297,360,84,40,19,1,24,85,49,23.6,13.6,.283,.596,.394,.990,52,100,177,17,72,.412,
Sanchez, Jesus,660821,2021,24,227,251,57,33,8,2,14,78,20,31.1,8.0,.251,.489,.319,.808,36,92,111,0,27,.339,
Varsho, Daulton,662139,2021,25,284,315,70,40,17,2,11,67,30,21.3,9.5,.246,.437,.317,.754,38,123,124,6,41,.322,
Riley, Austin,663586,2021,24,590,662,179,112,33,1,33,168,52,25.4,7.9,.303,.531,.367,.898,107,254,313,0,91,.379,
Larnach, Trevor,663616,2021,24,260,301,58,39,12,0,7,104,31,34.6,10.3,.223,.350,.322,.672,28,144,91,1,29,.300,
Mountcastle, Ryan,663624,2021,24,534,586,136,79,23,1,33,161,41,27.5,7.0,.255,.487,.309,.796,89,221,260,4,77,.335,
Hayes, Ke'Bryan,663647,2021,24,362,396,93,65,20,2,6,87,31,22.0,7.8,.257,.373,.316,.689,38,133,135,9,49,.301,
Tucker, Kyle,663656,2021,24,506,567,149,79,37,3,30,90,53,15.9,9.3,.294,.557,.358,.915,92,235,282,14,83,.383,
India, Jonathan,663697,2021,25,532,631,143,86,34,2,21,141,71,22.3,11.3,.269,.459,.376,.834,69,176,244,12,98,.363,
Grisham, Trent,663757,2021,25,462,527,112,66,28,3,15,119,54,22.6,10.2,.242,.413,.326,.740,62,172,191,13,61,.320,
Stephenson, Tyler,663886,2021,25,350,402,100,69,21,0,10,75,41,18.7,10.2,.286,.431,.366,.797,45,152,151,0,56,.346,
Rodgers, Brendan,663898,2021,25,387,415,110,71,21,3,15,84,19,20.2,4.6,.284,.470,.328,.798,51,155,182,0,49,.341,
Lowe, Nathaniel,663993,2021,26,557,642,147,102,24,3,18,162,80,25.2,12.5,.264,.415,.357,.771,72,219,231,8,75,.337,
Happ, Ian,664023,2021,27,465,535,105,59,20,1,25,156,62,29.2,11.6,.226,.434,.321,.756,66,181,202,9,63,.328,
France, Ty,664034,2021,27,571,650,166,115,32,1,18,106,46,16.3,7.1,.291,.445,.368,.813,73,232,254,0,85,.353,
Lowe, Brandon,664040,2021,27,535,615,132,62,31,0,39,167,68,27.2,11.1,.247,.523,.340,.863,99,199,280,7,97,.363,
Bader, Harrison,664056,2021,27,367,401,98,60,21,1,16,85,27,21.2,6.7,.267,.460,.324,.785,50,170,169,9,45,.331,
Fletcher, David,664058,2021,27,626,665,164,132,27,3,2,60,31,9.0,4.7,.262,.324,.295,.619,47,209,203,15,74,.273,
Moore, Dylan,664238,2021,29,332,377,60,35,11,2,12,111,40,29.4,10.6,.181,.334,.276,.610,43,149,111,21,42,.271,
Straw, Myles,664702,2021,27,564,638,153,119,29,1,4,121,67,19.0,10.5,.271,.348,.348,.695,48,232,196,30,86,.311,
Bohm, Alec,664761,2021,25,380,417,94,72,15,0,7,111,31,26.6,7.4,.247,.342,.305,.647,47,178,130,4,46,.285,
Wade Jr., LaMonte,664774,2021,27,336,381,85,47,17,3,18,89,33,23.4,8.7,.253,.482,.323,.805,56,97,162,6,52,.343,
Brown, Seth,664913,2021,29,281,307,60,26,13,1,20,89,23,29.0,7.5,.214,.480,.274,.754,48,142,135,4,43,.315,
Walsh, Jared,665120,2021,28,530,585,147,83,34,1,29,152,48,26.0,8.2,.277,.509,.340,.850,98,204,270,2,70,.357,
Tatis Jr., Fernando,665487,2021,22,478,546,135,62,31,0,42,153,62,28.0,11.4,.282,.611,.364,.975,97,151,292,25,99,.403,
Guerrero Jr., Vladimir,665489,2021,22,604,698,188,110,29,1,48,110,86,15.8,12.3,.311,.601,.401,1.002,111,235,363,4,123,.419,
Soto, Juan,665742,2021,23,502,654,157,106,20,2,29,93,145,14.2,22.2,.313,.534,.465,.999,95,197,268,9,111,.420,
Chisholm Jr., Jazz,665862,2021,23,464,507,115,73,20,4,18,145,34,28.6,6.7,.248,.425,.302,.726,53,138,197,23,70,.312,
Lux, Gavin,666158,2021,24,335,381,81,58,12,4,7,83,41,21.8,10.8,.242,.364,.328,.692,46,159,122,4,49,.303,
Bichette, Bo,666182,2021,23,640,690,191,131,30,1,29,137,40,19.9,5.8,.298,.484,.343,.828,102,218,310,25,121,.354,
Carlson, Dylan,666185,2021,23,542,619,144,91,31,4,18,152,57,24.6,9.2,.266,.437,.342,.780,65,183,237,2,79,.336,
Dalbec, Bobby,666915,2021,26,417,453,100,49,21,5,25,156,28,34.4,6.2,.240,.494,.298,.792,78,209,206,2,50,.334,
Garcia, Adolis,666969,2021,28,581,622,141,82,26,2,31,194,32,31.2,5.1,.243,.454,.286,.741,90,280,264,16,77,.314,
Gurriel Jr., Lourdes,666971,2021,28,500,541,138,87,28,2,21,102,32,18.9,5.9,.276,.466,.318,.784,84,179,233,1,62,.333,
Arozarena, Randy,668227,2021,26,529,604,145,90,32,3,20,170,56,28.1,9.3,.274,.459,.356,.815,69,198,243,20,94,.350,
Baddoo, Akil,668731,2021,23,413,461,107,67,20,7,13,122,45,26.5,9.8,.259,.436,.330,.766,55,119,180,18,60,.329,
Reynolds, Bryan,668804,2021,26,559,646,169,102,35,8,24,119,75,18.4,11.6,.302,.522,.390,.912,90,234,292,5,93,.385,
Rojas, Josh,668942,2021,27,484,550,128,82,32,3,11,137,58,24.9,10.5,.264,.411,.338,.749,44,194,199,9,69,.327,
Marsh, Brandon,669016,2021,24,236,260,60,43,12,3,2,91,20,35.0,7.7,.254,.356,.315,.671,19,87,84,6,27,.296,
Murphy, Sean,669221,2021,27,393,448,85,45,23,0,17,114,40,25.4,8.9,.216,.405,.306,.710,59,151,159,0,47,.309,
Edman, Tommy,669242,2021,26,641,691,168,113,41,3,11,95,38,13.7,5.5,.262,.387,.307,.694,56,200,248,30,91,.301,
Solak, Nick,669256,2021,26,458,511,111,80,18,2,11,107,34,20.9,6.7,.242,.362,.313,.676,49,211,166,7,57,.299,
Smith, Will,669257,2021,26,414,501,107,61,19,2,25,101,58,20.2,11.6,.258,.495,.365,.860,76,217,205,3,71,.364,
Hays, Austin,669720,2021,26,488,529,125,73,26,4,22,107,28,20.2,5.3,.256,.461,.306,.767,71,181,225,4,73,.328,
Lopez, Nicky,670032,2021,26,497,565,149,120,21,6,2,74,49,13.1,8.7,.300,.378,.358,.736,43,174,188,22,78,.329,
Alvarez, Yordan,670541,2021,24,537,598,149,80,35,1,33,145,50,24.2,8.4,.277,.531,.346,.877,104,276,285,1,92,.370,
Kelenic, Jarred,672284,2021,22,337,377,61,33,13,1,14,106,36,28.1,9.5,.181,.350,.265,.615,43,166,118,6,41,.270,
Robert, Luis,673357,2021,24,275,296,93,57,22,1,13,61,14,20.6,4.7,.338,.567,.378,.946,43,105,156,6,42,.399,
Kim, Ha-Seong,673490,2021,26,267,298,54,32,12,2,8,71,22,23.8,7.4,.202,.352,.268,.621,34,145,94,6,27,.270,
McCormick, Chas,676801,2021,26,284,320,73,47,12,0,14,104,25,32.5,7.8,.257,.447,.319,.766,50,113,127,4,47,.326,
Franco, Wander,677551,2021,20,281,308,81,51,18,5,7,37,24,12.0,7.8,.288,.463,.347,.810,39,111,130,2,53,.348,
Jeffers, Ryan,680777,2021,24,267,293,53,28,10,1,14,108,22,36.9,7.5,.199,.401,.270,.670,35,108,107,0,28,.289,
Vaughn, Andrew,683734,2021,23,417,469,98,61,22,0,15,101,41,21.5,8.7,.235,.396,.309,.705,48,228,165,1,56,.306,
