last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,b_total_bases,r_total_stolen_base,r_run,woba,
Pujols, Albert,405395,2021,41,275,296,65,45,3,0,17,45,14,15.2,4.7,.236,.433,.284,.717,50,146,119,2,29,.302,
Cabrera, Miguel,408234,2021,38,472,526,121,90,16,0,15,118,40,22.4,7.6,.256,.386,.316,.701,75,200,182,0,48,.305,
Molina, Yadier,425877,2021,39,440,473,111,81,19,0,11,79,24,16.7,5.1,.252,.370,.296,.666,66,180,163,3,45,.290,
Cruz Jr., Nelson,443558,2021,41,513,584,136,82,21,1,32,126,51,21.6,8.7,.265,.497,.332,.829,86,219,255,3,79,.346,
Peralta, David,444482,2021,34,487,538,126,80,30,8,8,92,46,17.1,8.6,.259,.402,.325,.728,63,214,196,2,57,.314,
Escobar, Alcides,444876,2021,35,319,349,92,65,21,2,4,56,17,16.0,4.9,.288,.404,.338,.742,28,98,129,3,53,.326,
Longoria, Evan,446334,2021,36,253,291,66,36,17,0,13,68,35,23.4,12.0,.261,.482,.351,.833,46,132,122,1,45,.352,
Cabrera, Asdrubal,452678,2021,36,309,352,71,43,21,0,7,80,36,22.7,10.2,.230,.366,.313,.678,42,151,113,1,34,.297,
Blackmon, Charlie,453568,2021,35,514,582,139,97,25,4,13,91,54,15.6,9.3,.270,.411,.351,.761,78,231,211,3,76,.333,
Maldonado, Martin,455117,2021,35,373,426,64,41,10,1,12,127,47,29.8,11.0,.172,.300,.272,.573,36,182,112,0,40,.258,
Cain, Lorenzo,456715,2021,35,257,286,66,45,13,0,8,48,26,16.8,9.1,.257,.401,.329,.729,36,122,103,13,40,.319,
Solano, Donovan,456781,2021,34,307,344,86,62,17,0,7,58,25,16.9,7.3,.280,.404,.343,.747,31,129,124,2,35,.324,
McCutchen, Andrew,457705,2021,35,482,574,107,55,24,1,27,132,81,23.0,14.1,.222,.444,.334,.778,80,200,214,6,78,.335,
Upton, Justin,457708,2021,34,318,362,67,38,12,0,17,107,39,29.6,10.8,.211,.409,.296,.704,41,151,130,4,47,.305,
