last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,b_total_bases,r_total_stolen_base,r_run,woba,
Haniger, Mitch,571745,2021,31,620,691,157,93,23,2,39,169,54,24.5,7.8,.253,.485,.318,.804,100,218,301,1,110,.340,
Hernandez, Enrique,571771,2021,30,508,585,127,69,35,3,20,110,61,18.8,10.4,.250,.449,.337,.786,60,177,228,1,84,.338,
Muncy, Max,571970,2021,31,497,592,124,60,26,2,36,120,83,20.3,14.0,.249,.527,.368,.895,94,210,262,2,95,.379,
Seager, Kyle,572122,2021,34,603,670,128,63,29,1,35,161,59,24.0,8.8,.212,.438,.285,.723,101,253,264,3,73,.308,
Taylor, Michael A.,572191,2021,30,483,528,118,89,16,1,12,144,33,27.3,6.3,.244,.356,.295,.652,54,202,172,14,58,.286,
Yastrzemski, Mike,573262,2021,31,468,532,105,49,28,3,25,131,51,24.6,9.6,.224,.457,.310,.767,71,201,214,4,75,.326,
Iglesias, Jose,578428,2021,31,483,511,131,93,27,2,9,75,21,14.7,4.1,.271,.391,.309,.701,48,195,189,5,65,.304,
Bryant, Kris,592178,2021,29,513,586,136,77,32,2,25,135,62,23.0,10.6,.265,.481,.353,.835,73,203,247,10,86,.356,
Canha, Mark,592192,2021,32,519,625,120,77,22,4,17,128,77,20.5,12.3,.231,.387,.358,.746,61,185,201,12,93,.333,
Castellanos, Nick,592206,2021,29,531,585,164,91,38,1,34,121,41,20.7,7.0,.309,.576,.362,.939,100,239,306,3,95,.391,
Judge, Aaron,592450,2021,29,550,633,158,95,24,0,39,158,75,25.0,11.8,.287,.544,.373,.916,98,217,299,6,89,.387,
Machado, Manny,592518,2021,29,564,640,157,96,31,2,28,102,63,15.9,9.8,.278,.489,.347,.836,106,205,276,12,92,.350,
Realmuto, J.T.,592663,2021,30,476,537,125,79,25,4,17,129,48,24.0,8.9,.263,.439,.343,.782,73,195,209,13,64,.336,
Renfroe, Hunter,592669,2021,29,521,572,135,71,33,0,31,130,44,22.7,7.7,.259,.501,.315,.816,96,242,261,1,89,.344,
Merrifield, Whit,593160,2021,32,664,720,184,129,42,3,10,103,40,14.3,5.6,.277,.395,.317,.711,74,224,262,40,97,.306,
Bogaerts, Xander,593428,2021,29,529,603,156,98,34,1,23,113,62,18.7,10.3,.295,.493,.370,.863,79,236,261,5,90,.368,
Polanco, Jorge,593871,2021,28,588,644,158,88,35,2,33,118,45,18.3,7.0,.269,.503,.323,.826,98,206,296,11,97,.349,
Sano, Miguel,593934,2021,28,470,532,105,51,24,0,30,183,59,34.4,11.1,.223,.466,.312,.778,75,253,219,2,68,.332,
Duvall, Adam,594807,2021,33,513,555,117,60,17,2,38,174,35,31.4,6.3,.228,.491,.281,.772,113,233,252,5,67,.324,
Baez, Javier,595879,2021,29,502,547,133,82,18,2,31,184,28,33.6,5.1,.265,.494,.318,.812,87,235,248,18,80,.344,
Lindor, Francisco,596019,2021,28,452,524,104,65,16,3,20,96,58,18.3,11.1,.230,.412,.319,.730,63,171,186,10,73,.317,
Story, Trevor,596115,2021,29,526,595,132,69,34,5,24,139,53,23.4,8.9,.251,.471,.329,.801,75,217,248,20,88,.341,
Candelario, Jeimer,600869,2021,28,557,626,151,90,42,3,16,135,65,21.6,10.4,.271,.443,.351,.795,67,227,247,0,75,.344,
Bell, Josh,605137,2021,29,498,568,130,78,24,1,27,101,65,17.8,11.4,.261,.476,.347,.823,88,293,237,0,75,.352,
Betts, Mookie,605141,2021,29,466,550,123,68,29,3,23,86,68,15.6,12.4,.264,.487,.367,.854,58,152,227,10,93,.365,
Tapia, Raimel,606132,2021,27,487,533,133,99,26,2,6,70,40,13.1,7.5,.273,.372,.326,.698,50,161,181,20,69,.305,
Hernandez, Teoscar,606192,2021,29,550,595,163,102,29,0,32,148,36,24.9,6.1,.296,.524,.346,.870,116,227,288,12,92,.369,
Turner, Trea,607208,2021,28,595,646,195,130,34,3,28,110,41,17.0,6.3,.328,.536,.375,.911,77,172,319,32,107,.386,
Ramirez, Jose,608070,2021,29,552,636,147,74,32,5,36,87,72,13.7,11.3,.266,.538,.355,.893,103,229,297,27,111,.372,
Gallo, Joey,608336,2021,28,498,616,99,47,13,1,38,213,111,34.6,18.0,.199,.458,.351,.808,77,221,228,6,90,.348,
Swanson, Dansby,621020,2021,27,588,653,146,84,33,2,27,167,52,25.6,8.0,.248,.449,.311,.760,88,251,264,9,78,.322,
Newman, Kevin,621028,2021,28,517,554,117,87,22,3,5,41,27,7.4,4.9,.226,.309,.262,.571,39,239,160,6,50,.249,
Taylor, Chris,621035,2021,31,507,582,129,80,25,4,20,167,63,28.7,10.8,.254,.438,.344,.782,73,223,222,13,92,.338,
Correa, Carlos,621043,2021,27,555,640,155,94,34,1,26,116,75,18.1,11.7,.279,.485,.366,.850,92,256,269,0,104,.364,
Olson, Matt,621566,2021,27,565,673,153,79,35,0,39,113,88,16.8,13.1,.271,.540,.371,.911,111,257,305,4,101,.379,
Alonso, Pete,624413,2021,27,561,637,147,80,27,3,37,127,60,19.9,9.4,.262,.519,.344,.863,94,283,291,3,81,.363,
Frazier, Adam,624428,2021,30,577,639,176,130,36,5,5,69,48,10.8,7.5,.305,.411,.366,.777,43,188,237,10,83,.341,
Soler, Jorge,624585,2021,29,516,602,115,61,27,0,27,142,67,23.6,11.1,.223,.432,.312,.744,70,211,223,0,74,.323,
Cronenworth, Jake,630105,2021,27,567,643,151,90,33,7,21,90,55,14.0,8.6,.266,.460,.336,.796,71,249,261,4,94,.341,
Meadows, Austin,640457,2021,26,518,591,121,62,29,3,27,122,59,20.6,10.0,.234,.458,.315,.772,106,225,237,5,79,.327,
Anderson, Tim,641313,2021,28,527,551,163,115,29,2,17,119,22,21.6,4.0,.309,.469,.338,.806,61,166,247,18,94,.345,
Crawford, J.P.,641487,2021,26,619,687,169,123,37,0,9,114,58,16.6,8.4,.273,.376,.338,.714,54,200,233,3,89,.314,
Dozier, Hunter,641531,2021,30,487,543,105,56,27,6,16,154,43,28.4,7.9,.216,.394,.285,.680,54,229,192,5,55,.293,
Mancini III, Trey,641820,2021,29,556,616,142,87,33,1,21,143,51,23.2,8.3,.255,.432,.326,.758,71,226,240,0,77,.326,
McMahon, Ryan,641857,2021,27,528,596,134,78,32,1,23,147,59,24.7,9.9,.254,.449,.331,.779,86,243,237,6,80,.334,
O'Neill, Tyler,641933,2021,26,482,537,138,76,26,2,34,168,38,31.3,7.1,.286,.560,.352,.912,80,216,270,15,89,.384,
Rosario, Amed,642708,2021,26,550,588,155,113,25,6,11,120,31,20.4,5.3,.282,.409,.321,.731,57,210,225,13,77,.315,
