last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,woba,
Short, Zack,670097,2021,26,156,184,22,12,4,0,6,59,22,32.1,12.0,.141,.282,.239,.521,.230,
Rojas, Jose,670351,2021,28,168,184,35,15,14,0,6,50,15,27.2,8.2,.208,.399,.277,.676,.292,
Young, Andrew,670370,2021,27,91,104,19,6,7,0,6,45,6,43.3,5.8,.209,.484,.298,.782,.332,
Alvarez, Yordan,670541,2021,24,537,598,149,80,35,1,33,145,50,24.2,8.4,.277,.531,.346,.877,.370,
Paredes, Isaac,670623,2021,22,72,85,15,10,3,1,1,11,10,12.9,11.8,.208,.319,.306,.625,.274,
Brosseau, Mike,670712,2021,27,150,169,28,14,9,0,5,53,15,31.4,8.9,.187,.347,.266,.613,.268,
Walls, Taylor,670764,2021,25,152,176,32,21,10,0,1,49,23,27.8,13.1,.211,.296,.313,.609,.279,
Garcia, Luis,671277,2021,21,236,247,57,31,18,2,6,43,11,17.4,4.5,.242,.411,.275,.686,.291,
Kelenic, Jarred,672284,2021,22,337,377,61,33,13,1,14,106,36,28.1,9.5,.181,.350,.265,.615,.270,
Kirk, Alejandro,672386,2021,23,165,189,40,24,8,0,8,22,19,11.6,10.1,.242,.436,.328,.764,.330,
Marcano, Tucupita,672779,2021,22,44,50,8,7,1,0,0,9,6,18.0,12.0,.182,.205,.280,.485,.231,
Robert, Luis,673357,2021,24,275,296,93,57,22,1,13,61,14,20.6,4.7,.338,.567,.378,.946,.399,
Akiyama, Shogo,673451,2021,33,162,183,33,25,8,0,0,40,14,21.9,7.7,.204,.253,.279,.532,.243,
Kim, Ha-Seong,673490,2021,26,267,298,54,32,12,2,8,71,22,23.8,7.4,.202,.352,.268,.621,.270,
Clement, Ernie,676391,2021,25,121,133,28,21,4,0,3,19,7,14.3,5.3,.231,.339,.278,.617,.275,
Barrero, Jose,676480,2021,23,50,56,10,5,4,1,0,17,3,30.4,5.4,.200,.320,.286,.606,.271,
Meyers, Jake,676694,2021,25,146,163,38,24,8,0,6,50,10,30.7,6.1,.260,.438,.319,.757,.328,
Trejo, Alan,676701,2021,25,46,50,10,7,2,0,1,15,3,30.0,6.0,.217,.326,.260,.586,.245,
McCormick, Chas,676801,2021,26,284,320,73,47,12,0,14,104,25,32.5,7.8,.257,.447,.319,.766,.326,
Franco, Wander,677551,2021,20,281,308,81,51,18,5,7,37,24,12.0,7.8,.288,.463,.347,.810,.348,
Duran, Jarren,680776,2021,25,107,112,23,16,3,2,2,40,4,35.7,3.6,.215,.336,.241,.578,.247,
Jeffers, Ryan,680777,2021,24,267,293,53,28,10,1,14,108,22,36.9,7.5,.199,.401,.270,.670,.289,
Miller, Owen,680911,2021,25,191,202,39,27,8,0,4,54,9,26.7,4.5,.204,.309,.243,.551,.241,
Vaughn, Andrew,683734,2021,23,417,469,98,61,22,0,15,101,41,21.5,8.7,.235,.396,.309,.705,.306,
