Pitching points/game %
148
137)  Keegan Akin  6.875  24
138)  Chi Chi Gonzalez  6.8  24
139)  Jorge Lopez  6.793939393939394  33
140)  Ranger Suarez  6.769230769230769  39
141)  Martin Perez  6.694444444444445  36
142)  Brett Anderson  6.666666666666667  24
143)  Paolo Espino  6.2628571428571425  35
144)  Ryan Weathers  5.64  30
145)  Caleb Smith  5.404444444444445  45
146)  Taylor Hearn  5.311904761904762  42
147)  John Gant  5.256410256410256  39
148)  Tyler Alexander  4.929268292682926  41
